"Gene"	"FC"	"FDR"	"pct.exp"
"1"	"ADAM22"	0.578856268563722	0.0383265374714002	79.5454545454545
"2"	"ADARB2"	-0.760673598025015	0.0128164784570737	70.4545454545455
"3"	"ADCY2"	-0.681979265925058	3.23602785518713e-08	55.4545454545455
"4"	"ADCY9"	0.480594074914776	0.021668220165816	65.9090909090909
"5"	"ADRA1A"	0.698561941221249	0.00645445991896656	77.2727272727273
"6"	"AFF3"	0.409438841359106	0.00112567257315744	91.8181818181818
"7"	"ALDH1A2"	1.13936617914611	6.13907852634918e-06	51.3636363636364
"8"	"AMPH"	0.480731340908952	0.0307288561362491	60
"9"	"ANO4"	-0.7747228966527	8.63456846570922e-05	56.8181818181818
"10"	"ARHGAP44"	0.392516523512817	0.01754784244405	75.4545454545455
"11"	"ATP8B4"	0.58172646828765	0.0174130087014204	35.9090909090909
"13"	"BCL11B"	0.926775220227808	7.57365734098883e-06	54.5454545454545
"14"	"BTBD7"	-0.310306574958919	0.00733921449333728	32.7272727272727
"15"	"BTNL9"	0.352266062735534	0.00645445991896656	43.1818181818182
"16"	"CACNA1E"	0.557885454878684	0.00330490739282326	85.4545454545455
"17"	"CAMK1D"	0.636527948773615	1.80046550756488e-05	89.0909090909091
"18"	"CAMK2A"	0.673762132423121	0.00442387069679949	75.9090909090909
"19"	"CAMK2B"	0.361648743496125	0.00177556490857945	73.6363636363636
"20"	"CCBE1"	-0.498315327764063	0.0184049592175575	25.9090909090909
"21"	"CDH12"	-0.599922898100945	0.00170399668705077	51.3636363636364
"22"	"CDH8"	0.626802296079736	0.0014036900943698	75.9090909090909
"23"	"CELF2"	0.416678248704391	0.00182083953274033	99.0909090909091
"24"	"CEP112"	0.456043596775726	0.0442989961078998	68.1818181818182
"25"	"CHRM3"	-0.59597346413381	0.00933964057675346	35
"26"	"CHST9"	0.701797986943881	0.00131842124489215	75.9090909090909
"27"	"CKB"	-0.314202900078926	0.0294425654135243	30.4545454545455
"28"	"CLSTN2"	0.987952994244695	2.31094754990131e-08	90.4545454545455
"29"	"CNGB1"	0.568630274991274	0.0238539043762536	42.7272727272727
"30"	"CNTN4"	-1.11777348306402	2.07315313267925e-05	58.1818181818182
"31"	"CNTN5"	-0.633147818831751	0.0178011013937908	82.7272727272727
"32"	"CNTNAP2"	-0.717552086085782	3.28487417101407e-08	99.0909090909091
"33"	"CPNE4"	0.988306256659489	7.24770272688466e-07	64.0909090909091
"34"	"CTD-2535L24.2"	0.491664070572319	0.023527222252318	34.0909090909091
"35"	"CTNNA3"	-0.626848006394642	0.0150016651733964	62.7272727272727
"36"	"DAPK1"	0.424896604385325	0.00479950168400067	80
"37"	"DGKB"	0.590924457082278	0.00887420461940136	88.1818181818182
"38"	"DLGAP2"	0.474691615847439	0.00241298360585443	95
"39"	"DNER"	-0.441922920531727	0.0221357613319008	48.1818181818182
"40"	"DOCK9"	-0.544968344948779	0.0184049592175575	58.6363636363636
"41"	"DTNB"	0.562784728132215	0.0200512839438499	77.2727272727273
"42"	"EDIL3"	0.456421108286411	0.0278517443109302	92.2727272727273
"43"	"ENOX1"	-0.509536544188433	0.00325425183332078	64.5454545454545
"45"	"ERBB4"	-0.969900967992763	2.41594337852752e-07	93.6363636363636
"46"	"ERBIN"	-0.443132789787641	0.0486812385622696	51.8181818181818
"47"	"FBXO34"	0.763323455719434	0.00124887908826226	62.2727272727273
"48"	"FMNL2"	-0.449206181436051	0.0233875358949511	85.9090909090909
"49"	"GALNT18"	0.716939537561363	1.74201324698316e-05	83.1818181818182
"50"	"GALNTL6"	-0.705251105346458	0.00349380992667161	29.5454545454545
"51"	"GNA14"	0.478458278208988	0.00692408423490035	43.6363636363636
