"Gene"	"FC"	"FDR"	"pct.exp"
"120"	"LRRTM3"	-0.363991297051667	1.22390844758314e-35	26.0201377848437
"121"	"LYPD6B"	0.429294362928963	2.64569603663241e-32	50.9167991520933
"122"	"MAGI1"	-0.304592907416472	3.82095618660928e-30	79.915209326974
"123"	"MAML2"	0.329936012642527	5.40630028930806e-39	88.5320614732379
"124"	"MAN2A1"	-0.725168379587182	4.39516297668667e-88	40.2331743508214
"125"	"MAP4K4"	-0.368250446457051	2.978917027667e-40	64.7482776894542
"126"	"MARCH1"	-0.91961354462774	4.81979984933776e-155	66.8150503444621
"127"	"MBP"	-0.938332890051795	1.95371603267061e-130	63.275039745628
"128"	"MCTP1"	0.366932677741298	1.35533047820265e-54	90.8956014838368
"129"	"MMD2"	0.439127861236334	7.25433562350095e-42	41.6534181240064
"134"	"MYO16"	-0.413085751382962	5.26594226988625e-33	42.2575516693164
"136"	"NBEA"	0.363353972225736	3.1255003950846e-95	96.5235824059353
"137"	"NCKAP5"	-0.64366126994105	1.11479049619691e-65	33.3439321674616
"138"	"NCOA7"	-0.377329551203029	8.25639091403689e-32	43.8685744568098
"140"	"NPAS3"	-0.551025057240445	4.6682673453837e-55	68.7016428192899
"141"	"NPTXR"	0.318989099039996	4.44086948376811e-18	52.4218335983042
"142"	"NR3C2"	0.480612005173613	2.30797748763008e-40	77.2972972972973
"143"	"NRG1"	-0.598320665858814	3.73921273583457e-51	57.8272390037096
"144"	"NRP1"	0.379622955486217	1.64830670701119e-31	79.4170641229465
"145"	"OSBPL1A"	-0.321478698749304	8.47678102677594e-27	37.5940646528882
"147"	"PALM2"	-0.326538075348635	2.30134727059972e-23	42.8192898781134
"148"	"PCBP3"	0.580672996306365	3.90758338863293e-59	73.6406995230525
"149"	"PCDH7"	-0.631622922878997	2.22408229214308e-67	67.111817700053
"150"	"PCDH9"	-0.556309075071447	2.11839188330721e-249	99.4912559618442
"152"	"PDE1C"	-0.667944785481026	9.53392808303018e-82	25.776364599894
"153"	"PDE4B"	-0.725323320292767	7.29391343790815e-108	79.5654478007419
"154"	"PDE8A"	-0.62519568261866	8.87618204985848e-72	31.7011128775835
"155"	"PGBD5"	0.346788971023805	2.34334809970344e-25	75.3789083200848
"157"	"PHLPP1"	-0.676573536855035	1.39770431755023e-80	50.6094329623741
"159"	"PIP4K2A"	-0.80938065017684	7.69170999329205e-90	43.9745627980922
"160"	"PLEKHH1"	-0.491533764675675	6.34786491253072e-52	28.8500264970853
"161"	"PLXNA4"	0.448794758958192	5.05919603983497e-69	89.4011658717541
"162"	"POLR2F"	-0.345566829723885	9.60858770602057e-31	27.715951245363
"163"	"PPFIA2"	0.304845550697909	8.29915006887553e-63	97.9438261791203
"164"	"PPM1E"	0.604419465844872	1.12816609722178e-254	97.1701112877583
"165"	"PPP2R2B"	-0.574689409806921	5.27097729395913e-115	91.3089560148384
"166"	"PRB2"	0.330620092656917	3.94264377039546e-20	48.1717011128776
"167"	"PRKCE"	0.345694396528905	2.97114058737406e-67	91.4573396926338
"168"	"PRUNE2"	-0.403432165656018	7.49994092236207e-33	47.0482246952835
"169"	"PSEN1"	-0.307250051057179	2.21461099735688e-23	33.1107578166402
"170"	"PTPRD"	-0.893149993916509	1.93186930212553e-275	92.284048754637
"171"	"PTPRG"	-0.343037994105994	1.09646706821298e-26	59.9470058293588
"172"	"PXK"	-0.43001818164978	7.58346467632609e-43	31.6269210386857
"173"	"QKI"	-1.01392341892633	1.35865919674363e-195	79.2262851086381
"174"	"RALGPS2"	0.365920709211889	6.65106599268329e-23	65.903550609433
"175"	"RALYL"	-0.423503120226783	8.75552197696804e-26	57.6046634870164
"177"	"RFX3"	0.379098179100718	7.04059022771555e-28	87.9279279279279
"178"	"RGS6"	0.650158737104609	8.11063252976757e-62	72.7397986221516
"179"	"RNF220"	-0.87961974749596	1.92075388479166e-87	34.1070482246953
"180"	"ROBO1"	-0.44692081221998	9.45152107083167e-51	44.3031266560678
"181"	"ROBO2"	-0.528232766859935	4.17909584567718e-62	76.0572337042925
"182"	"RP11-654K19.6"	-0.468837594794211	2.72338501429948e-52	37.8272390037096
"183"	"RYR2"	0.349413201313273	5.69391734202143e-107	98.3995760466349
"184"	"SCART1"	0.685425879680978	2.42557314238803e-88	53.0365659777424
"185"	"SCD5"	-0.481264623093481	1.3782559383143e-49	38.4419713831479
"186"	"SDK1"	0.378037944040447	1.08494140990179e-21	58.1240063593005
"187"	"SEMA5A"	0.520986867634905	9.42713461244401e-113	92.6338102808691
"189"	"SEPT7"	-0.530736258802833	9.89924845147772e-59	49.8145204027557
"190"	"SGCD"	-0.334480703954039	1.8663924558474e-18	58.6539480657128
"191"	"SGK1"	-0.493612906999286	1.2902520491346e-56	52.9941706412295
"192"	"SHISA6"	0.477027976472539	8.70701467478847e-68	86.3169051404346
"193"	"SHTN1"	-0.499090860930647	2.97284682197282e-60	68.2458929517753
"194"	"SIK3"	-0.336938201849042	1.04017350953552e-48	89.3375728669846
