"Gene"	"FC"	"FDR"	"pct.exp"
"1"	"ADAMTSL3"	0.364262627382899	0.000240317997308104	61.8357487922705
"2"	"ASIC2"	-0.454834968331378	0.000108604590277213	59.3236714975845
"3"	"DPP10"	-0.613212727381451	2.00357521444887e-10	87.43961352657
"4"	"DPYD"	-0.361463595732049	0.0017884420106366	68.792270531401
"5"	"DSCAM"	0.324838967930021	3.47823920242786e-07	84.9275362318841
"6"	"EYA4"	0.417112493175979	5.58264698951146e-06	47.9227053140097
"7"	"FSTL5"	-0.466659901193497	3.27849024011188e-10	82.3188405797101
"8"	"GRIK1"	-0.315993564780037	0.000764031895992264	88.5990338164251
"9"	"INPP4B"	-0.385914127366301	0.00117485998871534	80
"10"	"KIT"	0.325484249096255	0.0019706068256209	49.2753623188406
"11"	"LRRTM4"	-0.314547645453908	0.0103031080143536	80
"12"	"NKAIN2"	-0.384579924145588	1.16445195696851e-08	90.9178743961353
"13"	"NRIP3"	0.307748729093801	0.00237849567711419	53.1400966183575
"14"	"NTNG1"	0.3740724205909	0.000179406153006825	41.3526570048309
"15"	"PDE4B"	-0.301160894812093	0.0357527842914397	67.9227053140097
"16"	"PLCXD3"	0.331781520365604	0.000695518895876018	26.5700483091787
"17"	"PLD5"	-0.331155622546181	0.0172760070341599	69.3719806763285
"18"	"PPM1E"	0.343138417953625	0.000778678869651995	69.4685990338164
"19"	"RALYL"	-0.377478067630945	0.000336824061456407	71.4975845410628
"20"	"RELN"	-0.306845991958249	0.041196774913605	76.0386473429952
"21"	"RP11-58C22.1"	0.300286909736349	0.00639063755414725	51.7874396135266
"22"	"TENM2"	-0.620087164358765	4.71620671979677e-07	81.7391304347826
"23"	"UNC13C"	0.346148911336746	0.00717717062421971	50.048309178744
"24"	"WBSCR17"	0.336442232730768	2.42537359487693e-05	73.6231884057971
"25"	"ZBTB20"	0.434252522071192	5.10286121026464e-08	75.8454106280193
"26"	"ZNF385B"	-0.306465924750543	0.00157172431868503	54.3961352657005
"27"	"ZNF804B"	-0.577147858593104	6.37247872845604e-10	51.8840579710145
