"Gene"	"FC"	"FDR"	"pct.exp"
"1"	"AAK1"	0.349366811905833	2.40505193619567e-12	89.7086763774541
"3"	"ABI1"	0.389704295398238	2.04503381669341e-07	67.5744141861938
"4"	"ACTR3"	0.317887632898689	9.52486020359489e-06	55.0031665611146
"6"	"ADAM23"	-0.471021604433106	7.89690159374107e-11	72.0709309689677
"7"	"ADD2"	0.352987630662586	1.37216753948638e-05	69.1260291323622
"8"	"ADGRV1"	0.565411851996555	1.57463811059716e-13	81.5072830905636
"9"	"ADIPOR2"	-0.38336502909481	3.39137462842131e-13	32.9322355921469
"10"	"ADRBK2"	0.429675525617991	2.40505193619567e-12	82.3622545915136
"11"	"AFAP1"	-0.400207603776628	1.09721617336282e-10	29.5123495883471
"12"	"AGAP1"	-0.34617076342398	5.48257686894976e-08	75.7758074730842
"13"	"AGAP3"	0.446574474387654	1.61763310742131e-08	55.4464851171628
"15"	"AGPAT4"	-0.337320596600394	6.81201072973231e-09	71.1842938568714
"16"	"AK5"	-0.310545432634129	2.21473847897748e-08	88.1887270424319
"17"	"AKAP13"	-0.524803292376677	1.67823379813806e-17	41.418619379354
"18"	"ANO4"	-0.413268511509224	1.34703291959088e-12	74.5091830272324
"19"	"ANO5"	0.393378752693587	2.76837186885629e-06	71.8176060797973
"20"	"APBA1"	-0.349438138289184	3.78580741479209e-06	58.7397086763775
"21"	"ARHGAP44"	0.435623019721421	1.22151880721124e-12	81.1906269791007
"22"	"ARHGEF3"	0.526156183970142	4.62079566343348e-14	80.3356554781507
"23"	"ARHGEF7"	0.385275989114294	6.23711865819033e-09	89.7720075997467
"24"	"ARNT2"	-0.363731005161134	1.58187092276162e-09	82.837238758708
"25"	"ATP2C1"	0.45681555332442	6.13358918304429e-09	77.2957568081064
"26"	"ATP6V1H"	0.381611399098326	1.3117123457014e-06	75.5858138062065
"27"	"BCL11A"	0.52440395245922	1.1939661404636e-11	82.5839138695377
"28"	"BCL11B"	0.548579308228555	1.70672200922152e-22	87.9987333755542
"29"	"BCL6"	0.470146004090803	1.59824450870852e-11	51.6149461684611
"30"	"C1orf21"	0.559233911075092	3.98344764889198e-12	62.6979100696643
"31"	"C9orf3"	-0.305099933635906	1.33485437960861e-05	71.8176060797973
"32"	"CABP1"	0.42255435997639	2.31282724841869e-13	86.2254591513616
"33"	"CACHD1"	0.450650328720622	2.09193163097154e-10	58.9613679544015
"34"	"CACNA1C"	-0.481181081569407	5.18084625759153e-18	82.7422419252692
"35"	"CACNG8"	0.450982500968296	5.92261205570593e-13	78.0873970867638
"36"	"CADM1"	-0.542307210442326	8.60843786509264e-23	86.4154528182394
"37"	"CADPS2"	0.697393035686134	1.85247923795132e-41	90.34198860038
"38"	"CALM1"	0.346821292372688	4.32807626098468e-07	85.7504749841672
"39"	"CAMK2A"	0.451812772299052	1.85283040720179e-21	91.4502849905003
"40"	"CAMK2B"	0.474983987125364	3.06148474214067e-19	87.6504116529449
"41"	"CAMK2D"	-0.523847854636676	5.38511424345905e-19	51.1399620012666
"42"	"CAP2"	0.486546463141043	1.746952010816e-12	77.4224192526916
"43"	"CBLB"	0.350253500803062	5.56738533150815e-08	42.7802406586447
"44"	"CDC42SE2"	-0.352617118085768	4.8206686367787e-08	44.5218492716909
"45"	"CDH12"	-0.364817828514232	3.86758508219436e-06	64.9461684610513
