"Gene"	"FC"	"FDR"	"pct.exp"
"1"	"ABHD12"	0.508536770765044	0.0476841055602297	41.3533834586466
"3"	"AFF3"	0.483846500075172	0.00717857382204208	93.609022556391
"5"	"ANKRD44"	-0.593707490516957	0.0346588088708193	59.3984962406015
"6"	"AP3B2"	0.365894610127642	0.047756587186466	48.4962406015038
"7"	"ARL15"	0.550926798809574	0.00717857382204208	82.3308270676692
"8"	"ARNT2"	-0.716515317994737	0.00925729928221598	57.1428571428571
"9"	"ASTN2"	-0.595939637483745	0.027027406030411	33.8345864661654
"12"	"CACNA1A"	0.391790072377836	0.00975737990243043	90.9774436090226
"13"	"CAMK2A"	0.485849262087093	0.00300407533911842	89.8496240601504
"14"	"CAMK2B"	0.649817777372395	0.0412289096688693	80.8270676691729
"15"	"CDH12"	0.923419862045469	0.000165305791168586	87.218045112782
"17"	"CIRBP"	-0.394524583191912	0.0104212720573485	31.5789473684211
"19"	"CNTNAP3B"	0.700628740349161	0.00405349288183259	66.9172932330827
"23"	"CTNNA3"	-0.999651756771616	0.00405349288183259	55.6390977443609
"24"	"DCC"	0.448840018649334	0.0384568548403671	94.3609022556391
"25"	"DGKG"	-0.451877196118864	0.0280056880079451	64.6616541353383
"26"	"DLC1"	-0.352657493689928	0.0128630522252078	65.0375939849624
"27"	"DNMT3A"	0.583603193827841	0.0493106412319302	44.3609022556391
"28"	"DOCK5"	-0.727638904666521	0.0181298597815598	31.9548872180451
"30"	"ENPP2"	-0.418884728301736	0.027027406030411	25.5639097744361
"32"	"ERBB4"	-0.735887446778611	0.0101364497763615	51.8796992481203
"34"	"EXT2"	0.30794524328878	0.0330333208876352	34.2105263157895
"35"	"FAM153A"	0.755442105401178	0.0184252867177014	42.8571428571429
"36"	"FAM19A1"	1.10894580200073	0.00245144709034574	82.3308270676692
"38"	"FRYL"	-0.61466419248539	0.0344359954051481	52.6315789473684
"40"	"GDAP1"	0.885125812324876	0.00740409839975246	79.6992481203008
"41"	"GNAL"	-0.462062260283966	0.00377538811226276	27.0676691729323
"42"	"GTDC1"	0.435707878881276	0.0456435072811276	74.0601503759399
"43"	"HDAC9"	-0.729542925380608	0.00721077871796222	45.4887218045113
"45"	"KAZN"	-1.93563578457834	0.0273816546913322	86.8421052631579
"46"	"KHDRBS2"	0.55957803649433	0.00245144709034574	89.0977443609023
"47"	"KIAA1217"	-0.829703898652982	0.0224994968168607	75.9398496240601
"48"	"KIF26B"	-0.752747518739529	0.0290429808001876	50.3759398496241
"49"	"KLHL2"	0.333167812089516	0.0412289096688693	80.4511278195489
"50"	"MAN2A1"	-0.601100257419092	0.0140895834595895	37.593984962406
"51"	"MBP"	-0.530286229104777	0.0412255044005746	61.6541353383459
"52"	"MCTP1"	0.625550386220221	0.0412255044005746	84.2105263157895
"53"	"MDGA2"	0.550788271729226	0.00405349288183259	90.2255639097744
"54"	"MOBP"	-0.735041432522004	0.00394988502355853	26.3157894736842
"55"	"MPDZ"	-0.642042812377802	0.025030604327235	42.8571428571429
"57"	"MTUS2"	0.346677366335561	0.0250991800976494	83.4586466165414
"59"	"NIPAL2"	0.444977768938222	0.0467353238830514	29.6992481203008
"60"	"NR3C2"	0.815632803468007	0.00426822823494864	81.203007518797
"61"	"PARK2"	0.399373225335554	0.0323918232392726	90.6015037593985
"62"	"PDE1C"	-0.419792821395602	0.0375699254239131	33.4586466165414
"63"	"PDZRN4"	0.742690220192942	0.0433574215135408	66.1654135338346
"65"	"PLEKHH1"	-0.620823010863128	0.004376704635146	29.3233082706767
"66"	"POMT1"	0.896525455514048	0.00405349288183259	44.7368421052632
"68"	"PPP2R2B"	-0.805210103154828	0.00740409839975246	94.7368421052632
"69"	"PRICKLE2"	0.690169203087398	0.00721077871796222	76.6917293233083
"70"	"PTPRD"	-1.16562517667444	0.000228608503504327	80.4511278195489
"71"	"QKI"	-0.497044822670349	0.00245144709034574	78.1954887218045
"72"	"RAB26"	0.586078254582247	0.0113984284307445	40.9774436090226
"73"	"RABEP1"	0.803155595334496	0.0412255044005746	61.2781954887218
"74"	"RALYL"	0.325396151453178	0.0166997694860635	81.9548872180451
"75"	"RBFOX3"	0.412262812057205	0.00358082770993689	79.3233082706767
"76"	"SEMA4D"	-0.547122310270876	0.00925729928221598	28.9473684210526
"77"	"SEPT7"	-0.813376862248703	0.00717857382204208	51.8796992481203
"78"	"SEZ6L"	0.946307384005307	0.0140895834595895	54.1353383458647
"80"	"SIK3"	-0.724842410666915	0.0123149410837954	82.7067669172932
"81"	"SNED1"	-0.419170509387057	0.0366621336156627	43.984962406015
"82"	"ST18"	-0.717924138442015	0.030507824192171	40.9774436090226
"83"	"ST6GALNAC5"	0.399638068549636	0.0340636634547788	93.609022556391
"84"	"STXBP5L"	0.621802065716878	0.00234100808874823	99.6240601503759
"85"	"SYN3"	0.746964157438898	0.0343180570999411	54.1353383458647
"86"	"TENM3"	0.447539488337652	0.042811909515039	86.4661654135338
"88"	"TRAPPC8"	1.11695031694039	0.00550562673387315	25.187969924812
"89"	"TRHDE"	0.653449937559725	0.00755653111451379	83.4586466165414
"92"	"UNC5D"	-0.394912241586679	0.00931831738638596	68.0451127819549
"93"	"XKR6"	0.400667176569188	0.0097121861573049	80.0751879699248
"95"	"ZCCHC11"	-0.46125833674852	0.0492585429280957	36.4661654135338
"96"	"ZFAND3"	0.39440665988067	0.00717857382204208	82.3308270676692
