"Gene"	"FC"	"FDR"	"pct.exp"
"2"	"BRINP1"	0.481051984312154	1.60499150692309e-08	63.5242290748899
"3"	"CALN1"	-0.320238135496731	6.83049805518467e-06	55.7709251101322
"4"	"CDH8"	0.358743255102397	2.8207717636469e-06	57.5330396475771
"5"	"CLSTN2"	0.373712003184759	5.49545363587522e-07	41.3215859030837
"6"	"CNTN5"	-0.416249626699424	0.0038055841490191	91.8942731277533
"7"	"CNTNAP2"	-0.341801007282817	6.59712577301467e-09	98.942731277533
"8"	"DCC"	0.35190891500858	3.26571519773464e-05	66.431718061674
"9"	"DPP6"	0.33071176145518	2.70754084066765e-05	91.9823788546256
"10"	"ELOVL5"	0.502551962965428	8.59927149381463e-08	41.2334801762115
"11"	"ERBB4"	-0.378602856511356	2.8207717636469e-06	97.3568281938326
"12"	"FRAS1"	0.511261545638263	6.16177402886313e-09	36.2995594713656
"13"	"GSG1L"	0.370692418640581	6.85401599185682e-05	26.3436123348018
"14"	"HMGCS1"	0.365682564308091	6.53866144146717e-06	34.8017621145374
"15"	"HS6ST3"	0.361235618692006	0.00869235612662979	79.647577092511
"16"	"KCNH1"	0.312591050580678	0.000111024029545209	33.920704845815
"17"	"KHDRBS2"	-0.476804056753287	8.25134123092694e-07	70.7488986784141
"18"	"KIF26B"	0.356760072397693	0.000322276546048278	45.6387665198238
"19"	"KLHL29"	0.313089044979596	9.27561528957535e-07	67.488986784141
"20"	"LDLRAD4"	0.547930802676739	5.57280755452451e-11	71.6299559471366
"21"	"LRRTM3"	0.32115977158005	0.000595540927688267	47.2246696035242
"22"	"MACROD2"	-0.305341042677322	1.81482790157257e-08	95.1541850220264
"23"	"NRG1"	-0.308551225014736	0.000390990031855315	51.9823788546256
"24"	"PCDH9"	-0.512012240175874	0.0155437197060363	98.5903083700441
"25"	"PLD5"	-0.381007099114061	6.53472795007164e-05	73.1277533039648
"26"	"PTPRD"	-0.456773786748581	6.53472795007164e-05	87.5770925110132
"27"	"RELN"	-0.343469499924584	0.000813441699318037	49.2511013215859
"28"	"SEMA5A"	0.33865509639569	0.002292327334011	45.1982378854626
"29"	"SHISA6"	0.35243479575446	0.00164824293546439	71.2775330396476
"30"	"SLC24A3"	0.329010939937733	0.00203621096862778	71.7180616740088
"31"	"SOX5"	-0.319464344030405	4.15628457303582e-07	41.4096916299559
"32"	"SPRED2"	0.340220929544238	6.77263602817623e-07	30.3964757709251
"33"	"WBSCR17"	0.349745310632352	9.32993261600749e-08	78.5022026431718
